fields.discountPrice,fields.price,discount,fields.title,fields.shortInfo
51.0,102.0,5.0,直连电子票 广西桂林象鼻山大门票象山公园景区成人票,桂林
80.0,160.0,5.0,阳朔银子岩门票+专线车往返 桂林阳朔荔浦景点门票桂林银子岩门票,桂林
65.0,130.0,5.0,【高考生专属 立.减65元】北京杜莎夫人蜡像馆 高考生专属票,北京
25.99,52.01,5.0,成都熊猫基地门票 大熊猫繁育研地究基地大门票,成都
49.9,100.0,5.0,ZY【直连电子票】广州正佳自然科学博物馆 成人儿童亲子大门票,广州
78.0,156.0,5.0,抢购北京河北霸州玫瑰庄园室内外温泉门票+亲子小友记乐园,廊坊
53.0,106.0,5.0,河南鹤壁淇河谷桑园小镇成人门票5D玻璃栈道百米 提前4小时预定,鹤壁
183.0,366.0,5.0,国旅当天可订香港迪士尼乐园三合一餐券 午餐+晚餐+小吃,香港
520.0,1040.0,5.0,海侨【当天可订】香港迪士尼乐园1日门票迪斯尼一日票disney门票,香港
110.0,220.0,5.0,（当天可订）香港迪士尼乐园二合一餐券迪斯尼餐券含午餐或晚餐券,香港
25.0,50.1,5.0,【双人特价 电子票】成都大熊猫基地门票成都大熊猫繁育研究基地,成都
50.0,100.0,5.0,桂林七星公园门票 电子票发码 七星公园电子票 七星公园大门票,桂林
335.0,670.0,5.0,云南大苍山洗马潭索道大门票苍山地质公园含景区直通古城接送,大理
85.0,170.0,5.0,电子票直接发码 桂林七星公园+七星岩门票 桂林景区七星岩门票,桂林
220.0,440.0,5.0,印象刘三姐门票桂林阳朔印象刘三姐实景演出印象贵宾票B2票B1票,桂林
130.0,260.0,5.0,【系统出票】宜昌清江画廊A线成人门票含渡船 观八百里清江美如画,宜昌
185.0,370.0,5.0,桂林两江四湖夜游船票 两江四湖船票成人票 夜游两江四湖豪华船,桂林
60.0,120.0,5.0,银子岩电子票 桂林阳朔旅游荔浦银子岩门票 阳朔银子岩景区门票,桂林
260.0,520.0,5.0,【在线选座】桂林千古情门票 贵宾席/观众席演出门票 可选接送,桂林
90.0,180.0,5.0,桂林阳朔燕莎航空热气球空中游览十里画廊遇龙河旅游门票,桂林
133.0,266.0,5.0,海南三亚蜈支洲岛门票船票 三亚旅游 蜈支洲岛大门票+船票,三亚
295.0,590.0,5.0,海南三亚蜈支洲岛 门船票+海棠游 海上休闲观光 赏海棠风光,三亚
1399.0,2798.0,5.0,三亚蜈支洲岛海岛玩家门票潜水套票一价全含 三亚市区定点接送,三亚
54.0,108.0,5.0,【电子票】桂林 古东瀑布 门票,桂林
80.0,160.0,5.0,海口市观澜湖狂野水世界大门票景区通票水上乐园景点,海口
93.0,186.0,5.0,河南鹤壁联票5D玻璃栈道淇河谷+高山滑水+赠送鞋套提前4小时预定,鹤壁
80.0,160.0,5.0,桂林旅游两江四湖景区 日游一江四湖豪华船票可观象鼻山两江四湖,桂林
50.0,100.0,5.0,【独家授权】威海华夏城景区门票 神游华夏城电子票 大门票成人票,威海
39.96,80.09,5.0,镇店之宝 上海黄浦江游船票可升级夜景 豪华游船自助餐 换票入园,上海
1007.0,2014.0,5.0,【当天可订】香港迪士尼乐园套票 1日门票+三合一餐券迪斯尼门票,香港
155.0,310.0,5.0,【系统出票】恩施利川腾龙洞成人门票+往返景交 激光秀 大型演出,恩施
102.0,204.0,5.0,【14点前可订当天】湖北恩施建始县石门河地心谷门票含30元景交车,恩施
88.0,176.0,5.0,【当天可定 未用可退】宜昌旅游宜昌三峡大瀑布成人门票 穿越瀑布,宜昌
215.0,430.0,5.0,【618乐园购】常州恐龙园门票+侏罗纪水世界门票成人票,常州
135.0,270.0,5.0,【系统出票】宜昌长阳清江方山风景区成人门票+3D玻璃栈道 电子票,宜昌
118.0,236.0,5.0,【当天可订 系统出票】宜昌三峡大瀑布成人票+情人泉成人票 热销,宜昌
258.0,516.0,5.0,【官方直营】常州恐龙园门票二次票电子票,常州
85.0,170.0,5.0,桂林阳朔相公山门票+阳朔县城往返专线车,桂林
70.0,140.0,5.0,【13点前可订当天】宜昌车溪民俗风景区成人 门票 土家风情自驾游,宜昌
520.0,1040.0,5.0,国旅【当天可订】香港迪士尼乐园1日门票迪斯尼一日票disney门票,香港
118.0,236.0,5.0,【当天可订 系统出票】宜昌三峡大瀑布成人票+金狮洞成人票 热销,宜昌
202.0,404.0,5.0,（当天可订）香港迪士尼乐园三合一餐券迪斯尼餐券含午餐、晚餐券,香港
55.0,110.0,5.0,现票特价 东莞虎英水上乐园门票成人票实体票 原棕榈谷水城门票,东莞
148.0,296.0,5.0,桂林阳朔遇龙河竹筏漂流 金龙桥-旧县漂流票含接送车,桂林
124.0,248.0,5.0,【系统出票 未取可退】宜昌长阳清江方山风景区成人门票 电子票,宜昌
115.0,230.0,5.0,【国旅】香港迪士尼乐园二合一餐券迪士尼午餐或晚餐二选一餐票,香港
155.0,310.0,5.0,【系统出票】湖北宜昌三峡人家成人门票 自驾专享含渡船 土家表演,宜昌
81.48,160.0,5.1,✅上海杜莎夫人蜡像馆门票 杜莎夫人蜡像馆门票 含4D电影,上海
45.0,88.0,5.1,随订随进三亚水稻国家公园景观门票农旅文化旅游景区恐龙骑马玩乐,三亚
51.8,100.0,5.2,青岛森林野生动物园门票 黄岛动物世界小珠山动物园门票 下单优惠,青岛
63.0,120.0,5.2,威海福地传奇水上乐园门票南海福地传奇水乐园水世界成人票电子票,威海
110.0,210.0,5.2,桂林阳朔兴坪龙颈河漂流全程勇士漂+猛士漂龙颈河漂流门票,桂林
35.0,66.01,5.3,四川成都金沙遗址博物馆参观票 成人双人三人儿童学生门票,成都
45.0,85.01,5.3,江西景德镇古窑民俗博览区大门票 成人老人学生门票,景德镇
25.5,48.0,5.3,日照海滨国家森林公园门票 日照森林公园大门票 电子票 成人票,日照
43.99,81.7,5.4,上海浦江游览船票 浦江夜游船票 黄浦江游船 夜游船票,上海
146.0,271.1,5.4,上海海昌门票上海海昌海洋公园门票上海海昌极地世界门票成人亲子,上海
27.99,52.0,5.4,成都大熊猫繁育研究基地门票 熊猫基地电子票 大熊猫基地门票,成都
55.0,100.0,5.5,ZM【直连电子票】广东 惠州香溪堡大门票 成人票团体票门票,惠州
55.0,100.0,5.5,ZY【直连电子票】广东中山迪茵湖田家舍农场 成人儿童旅游门票,中山
120.0,220.0,5.5,上海野生动物园门票成人票热门主题公园含猛兽H,上海
106.5,195.1,5.5,【送俱乐部 刷身份证进】常州恐龙园门票中华恐龙园大学生成人票,常州
150.0,273.1,5.5,上海海昌海洋公园门票 电子票 海昌极地海洋世界门票成人票亲子票,上海
450.0,800.0,5.6,【1大1小 2次入园】上海乐高探索中心门票 周中亲子双次票,上海
48.0,85.0,5.6,青岛贝林博物馆门票 青岛贝林自然博物馆大门票成人儿童票电子票,青岛
273.0,485.0,5.6,【极限挑战同款】三亚海昌梦幻海洋不夜城 畅玩票+海狮捶打棒,三亚
56.0,100.0,5.6,ZY 广东 东莞观音山国家森林公园 成人大门票+上山单程观光车票,东莞
48.0,85.0,5.6,桂林阳朔旅游景点十里画廊聚龙潭大门票含奇石宫水陆两游县城取票,桂林
63.8,112.0,5.7,热卖当天可订！三亚天涯海角门票+海上观光游艇出海电瓶车套票,三亚
135.0,235.0,5.7,【官方出票 无需排队】山西旅游五台山门票景点进山门票成人,忻州
70.0,120.0,5.8,三亚水稻国家公园门票+电瓶车套票农旅文化旅游景区恐龙骑马玩乐,三亚
225.0,390.0,5.8,桂林阳朔印象刘三姐新贵宾B2席山水实景演出门票+银子岩门票套票,桂林
59.0,100.0,5.9,桂林旅游景点春晚分会场象山传奇幻影剧场演出象鼻山景区夜景门票,桂林
80.0,135.0,5.9,当日可订 河北 秦皇岛 沙雕海洋乐园门票 沙雕大世界大门票,秦皇岛
58.0,98.0,5.9,【今日有票 电子票】北京世界公园门票 北京丰台世界公园门票,北京
16.6,28.0,5.9,济南动物园门票（原金牛动物园）济南野生动物园门票电子票,济南
88.0,148.0,5.9,官方海南三亚好汉坡南田温泉大门票神龙谷温泉公园门票特价温泉票,三亚
52.0,88.01,5.9,【电子票】上海金茂大厦88层观光厅门票成人/儿童/学生/老人票,上海
145.0,240.0,6.0,【官方直营】苏州甪直古镇 万盛水道夜游 船票(包船可坐8人),苏州
59.0,99.0,6.0,2019年惠民旅游卡 河南惠民旅游年票卡 河南旅游惠民卡一卡通年卡,郑州
122.0,200.0,6.1,ZY【提早1天预定】广东 汕头方特欢乐世界蓝水星 成人儿童大门票,汕头
61.0,100.0,6.1,ZY【直连电子票】广东 东莞龙凤山庄影视度假村 成人观光票大门票,东莞
155.0,255.0,6.1,【无需排队】上海旅游东方明珠广播电视塔门票一日游纯玩B票,上海
29.97,48.0,6.2,【当天可订】广州科学中心 大门票 广州科技馆 广东科学中心门票,广州
281.0,453.0,6.2,成人儿童含小食券 香港海洋公园门票含缆车 双人/亲子/家庭票,香港
40.0,64.0,6.2,赠送纯净水 随时取票！海南三亚天涯海角门票 三亚旅游景点,三亚
27.88,45.0,6.2,当天可订，海南三亚崖州古越游览门票,三亚
198.0,318.0,6.2,【官方|当天可订】苏州甪直古镇门票+万盛水道游船包船可坐8人,苏州
55.3,89.0,6.2,威海福地传奇水上乐园门票南海水世界电子票（仅限烟台居民使用）,威海
375.0,600.0,6.2,桂林朔旅游全程豪华游船四星豪华游轮船票含酒店接自助餐可含接送,桂林
88.0,140.0,6.3,【立.即出票】烟台龙口动植物园门票+游乐园丨通票套票 电子票,烟台
59.94,95.88,6.3,当天可用 上海城隍庙豫园景区大门票 黄浦江游览游船票快速方便,上海
39.0,61.9,6.3,【随时可预订】上海黄浦江豪华游船夜游船门票浦江游览电子票,上海
12.8,20.0,6.4,【官方电子票】山东济南千佛山景区门票千佛山门票旅游电子票,济南
118.0,184.0,6.4,桂林旅游景点门票春晚分会场象鼻山景区公园+芦笛岩景区门票套票,桂林
127.0,200.0,6.4,ZM【直连电子票】甘肃张掖方舟温泉水世界 水上乐园成人儿童门票,张掖
47.0,74.0,6.4,当天可订， 三亚海棠湾水稻国家公园 大门票,三亚
39.0,60.0,6.5,【官方门票】山东潍坊诸城野生动物园门票诸城野生动物园电子票,潍坊
57.5,88.0,6.5,【随时可定- 扫码入园】武汉欢乐谷夜场门票 武汉欢乐谷夜场门票,武汉
354.99,545.0,6.5,上海迪士尼门票迪士尼度假区一日票迪斯尼电子票迪士尼乐园1日票,上海
130.0,200.01,6.5,芭提雅东方公主号 豪华游轮 人妖秀表演门票含晚餐,芭堤雅
65.0,100.0,6.5,【直连电子票】广东 云浮金水台温泉 成人儿童温泉票门票,云浮
160.0,248.0,6.5,【618乐园购】烟台海昌雨岱山温泉门票+欢乐海岸游乐广场门票,烟台
58.0,88.0,6.6,"出票快,当天可订,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
105.0,158.1,6.6,【双人305】南昌万达海洋乐园门票融创海洋乐园亲子大学生成人票,南昌
30.0,45.6,6.6,【当天可订 电子票】广东科学中心门票广州科学馆门票,广州
58.0,88.0,6.6,"出票快,当天可订,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
58.0,88.0,6.6,"出票快,马上入园,三亚槟榔河温泉门票海南黎家文化康乐园小鱼温泉",三亚
25.0,38.01,6.6,广东广州南沙湿地大门票 成人双人亲子家庭门票,广州
96.0,146.0,6.6,KLOOK澳门旅游塔大门票澳门观光塔门票澳门旅游塔旅游电子门票,澳门
398.0,596.0,6.7,【官方直营】珠海海泉湾海洋原创套票 海洋温泉门票+原创按摩门票,珠海
200.0,300.0,6.7,泰国芭提雅东方公主号人妖秀表演秀妖精门票芭堤雅蒂芬妮特色秀,芭堤雅
636.0,956.0,6.7,香港迪士尼门票 香港迪士尼乐园双次畅玩票,香港
60.0,90.0,6.7,东方明珠九号卡丁体验票【仅限现场扫码购买 不含景区大门票】,上海
19.5,29.0,6.7,香港海龙明珠夜游船维多利亚港夜游船票船游铜锣湾红磡中环尖沙咀,香港
200.0,300.0,6.7,优先选座 宋城三亚千古情门票演出门票贵宾席送彩色动物园景区,三亚
26.0,39.0,6.7,江苏扬州凤凰岛景区大门票 扬州凤凰岛成人票电子票,扬州
80.0,120.0,6.7,桂林旅游景点门票城徽象鼻山景区公园门票叠彩山伏坡山门票套票,桂林
80.0,120.0,6.7,桂林旅游景点门票城徽象鼻山景区公园门票叠彩山送伏坡山门票套票,桂林
85.0,125.0,6.8,厦门旅游 五缘湾帆船门票 帆船出海体验船票 免排队 当天可预订,厦门
108.0,158.0,6.8,【当天可订】 惠州碧桂园润杨溪谷温泉门票成人票儿童票WA,惠州
27.0,40.0,6.8,当天可订！海南旅游海口火山群火山口国家地质国家公园门票景点区,海口
108.0,158.0,6.8,【当天可订】惠州旅游 惠州润杨溪谷温泉门票 【即订即出票】WA,惠州
105.0,155.0,6.8,阳朔十里画廊旅游景点门票图腾古道金水岩含温泉泥巴浴电子套票,桂林
135.0,200.0,6.8,桂林旅游门票独秀峰王城靖江王府+芦笛岩景区套票快速入园,桂林
26.0,38.0,6.8,I【亲子票 电子票】广东广州南沙湿地公园门票 南沙湿地公园门票,广州
59.9,88.0,6.8,出票快三亚凤凰岭海誓山盟景区门票+往返索道票旅游套餐,三亚
67.0,98.0,6.8,三亚海棠湾水稻国家公园稻田花海恐龙奇幻）门票+电瓶车,三亚
68.0,100.0,6.8,反弹蹦床公园门票 烟台反弹工厂大门票电子票 反弹工厂蹦床公园,烟台
38.0,55.0,6.9,【方便快捷】湖北武汉花博汇大门票花博汇景区门票,武汉
89.18,129.0,6.9,【当天可订】上海东方明珠广播电视塔超值门票亲子双人学生家庭票,上海
217.9,317.9,6.9,又见五台山门票【官方代售 赠往返交通】实景演出成人电子票,忻州
218.0,318.0,6.9,【赠到演出点交通】官方又见五台山门票山西旅游实景演出成人门票,忻州
200.0,289.0,6.9,上海迪士尼门票半日票下午场票迪士尼乐园半日票上海迪斯尼半日票,上海
125.0,180.1,6.9,【双人325元】山东日照海洋世界公园门票日照海洋馆海洋公园通票,日照
68.0,98.0,6.9,厦门旅游 福建厦门帆迎水上运动俱乐部海上帆船门票 厦门帆船船票,厦门
48.0,70.0,6.9,桂林阳朔旅游景点门票阳朔十里画廊精华景点蝴蝶泉+大榕树电子票,桂林
38.0,55.0,6.9,桂林旅游阳朔景点门票十里画廊蝴蝶泉景点门票电子票含蝴蝶泉表演,桂林
